timestamp,sensor_A,sensor_B,sensor_C,sensor_D
2024-01-01 08:01:09,61.44,90.85,44.35,31.26
2024-01-01 08:01:10,63.61,89.35,43.98,38.55
2024-01-01 08:01:11,66.11,90.90,41.01,47.98
2024-01-01 08:01:12,63.12,93.31,41.16,33.12
2024-01-01 08:01:13,66.47,89.74,41.89,31.27
2024-01-01 08:01:14,58.25,88.21,47.09,33.10
2024-01-01 08:01:15,65.28,91.42,41.76,42.57
2024-01-01 08:01:16,63.95,92.02,39.15,43.35
2024-01-01 08:01:17,63.32,90.36,42.83,36.68
2024-01-01 08:01:18,64.25,97.37,45.04,41.32
2024-01-01 08:01:19,60.23,86.10,42.07,44.01
2024-01-01 08:01:20,63.91,91.50,47.95,45.45
2024-01-01 08:01:21,65.20,89.87,39.30,37.16
2024-01-01 08:01:22,67.58,92.15,39.55,28.78
2024-01-01 08:01:23,63.72,91.04,39.75,34.54
2024-01-01 08:01:24,63.28,86.89,42.70,35.94
2024-01-01 08:01:25,64.02,93.77,36.36,36.44
2024-01-01 08:01:26,66.99,95.00,38.17,36.54
2024-01-01 08:01:27,65.94,92.86,37.16,41.58
2024-01-01 08:01:28,64.36,87.24,41.79,42.01
2024-01-01 08:01:29,66.57,92.64,43.04,36.03
2024-01-01 08:01:30,65.86,89.85,42.42,40.91
2024-01-01 08:01:31,67.73,95.17,32.25,37.74
2024-01-01 08:01:32,64.51,88.82,47.42,36.35
2024-01-01 08:01:33,65.38,93.27,41.66,39.50
2024-01-01 08:01:34,65.37,90.83,38.45,35.94
2024-01-01 08:01:35,63.34,94.15,42.47,43.66
2024-01-01 08:01:36,66.98,94.21,40.34,29.45
2024-01-01 08:01:37,67.02,89.70,37.79,32.91
2024-01-01 08:01:38,66.62,91.49,40.62,34.23
2024-01-01 08:01:39,66.25,93.67,38.43,36.25
2024-01-01 08:01:40,64.00,90.88,40.39,39.32
2024-01-01 08:01:41,66.10,94.75,38.28,33.91
2024-01-01 08:01:42,66.36,97.57,35.89,28.07
2024-01-01 08:01:43,65.54,90.17,41.11,36.87
2024-01-01 08:01:44,66.93,96.24,41.60,36.27
2024-01-01 08:01:45,68.16,91.41,40.65,25.22
2024-01-01 08:01:46,71.22,91.08,39.73,32.72
2024-01-01 08:01:47,67.89,90.42,40.24,26.11
2024-01-01 08:01:48,68.15,92.05,37.51,29.55
2024-01-01 08:01:49,67.58,95.38,41.97,28.33
2024-01-01 08:01:50,63.99,94.27,37.54,34.92
2024-01-01 08:01:51,67.86,100.00,36.58,31.88
2024-01-01 08:01:52,68.12,91.41,36.23,26.00
2024-01-01 08:01:53,73.01,94.50,39.43,34.39
2024-01-01 08:01:54,67.79,91.56,42.16,24.87
2024-01-01 08:01:55,68.86,91.92,40.15,31.66
2024-01-01 08:01:56,68.27,96.06,42.26,26.81
2024-01-01 08:01:57,66.08,93.66,37.72,28.33
2024-01-01 08:01:58,70.78,93.20,38.58,31.54
2024-01-01 08:01:59,70.07,94.63,37.58,31.34
2024-01-01 08:02:00,70.22,95.96,40.41,34.33
2024-01-01 08:02:01,66.89,95.42,39.52,28.39
2024-01-01 08:02:02,71.59,95.33,35.89,29.68
2024-01-01 08:02:03,66.05,94.48,42.00,26.43
2024-01-01 08:02:04,70.09,97.42,40.57,28.65
2024-01-01 08:02:05,73.36,98.56,33.98,29.41
2024-01-01 08:02:06,67.06,89.96,39.58,27.00
2024-01-01 08:02:07,67.97,97.91,36.04,19.92
2024-01-01 08:02:08,69.36,91.83,30.89,28.20
2024-01-01 08:02:09,68.21,95.91,39.68,28.08
2024-01-01 08:02:10,66.17,99.38,42.12,23.65
2024-01-01 08:02:11,69.46,92.67,39.11,20.98
2024-01-01 08:02:12,67.25,93.02,33.80,31.77
2024-01-01 08:02:13,70.37,95.56,36.73,27.59
2024-01-01 08:02:14,67.63,92.39,32.77,24.47
2024-01-01 08:02:15,72.61,90.76,40.54,20.60
2024-01-01 08:02:16,67.99,96.93,35.95,21.62
2024-01-01 08:02:17,68.95,91.50,42.39,29.89
2024-01-01 08:02:18,71.26,97.63,40.08,25.00
2024-01-01 08:02:19,67.21,95.03,36.97,22.03
2024-01-01 08:02:20,70.16,94.64,34.50,26.05
2024-01-01 08:02:21,72.36,93.04,37.64,20.54
2024-01-01 08:02:22,66.56,97.55,37.53,29.59
2024-01-01 08:02:23,70.17,95.05,38.20,28.79
2024-01-01 08:02:24,70.35,92.84,36.34,21.32
2024-01-01 08:02:25,71.42,97.06,31.81,20.47
2024-01-01 08:02:26,67.40,99.45,32.87,12.32
2024-01-01 08:02:27,67.26,92.74,40.33,16.69
2024-01-01 08:02:28,70.96,94.94,35.74,17.07
2024-01-01 08:02:29,70.53,99.12,36.02,22.80
2024-01-01 08:02:30,70.45,100.61,39.82,20.78
2024-01-01 08:02:31,70.66,95.88,41.13,16.55
2024-01-01 08:02:32,68.61,93.98,38.01,20.65
2024-01-01 08:02:33,70.45,95.15,36.71,23.64
2024-01-01 08:02:34,70.58,94.76,39.15,23.59
2024-01-01 08:02:35,68.57,97.41,34.79,13.74
2024-01-01 08:02:36,73.73,97.36,36.43,20.69
2024-01-01 08:02:37,70.95,97.69,39.09,15.55
2024-01-01 08:02:38,67.62,97.66,41.47,24.57
2024-01-01 08:02:39,71.31,93.46,31.40,23.99
2024-01-01 08:02:40,68.04,96.96,36.89,17.15
2024-01-01 08:02:41,71.56,96.99,34.43,17.58
2024-01-01 08:02:42,72.29,95.99,36.92,18.71
2024-01-01 08:02:43,68.32,94.59,40.45,11.46
2024-01-01 08:02:44,71.88,101.04,41.36,21.73
2024-01-01 08:02:45,70.76,100.65,36.06,19.23
2024-01-01 08:02:46,71.56,98.46,35.57,24.13
2024-01-01 08:02:47,73.70,97.47,39.23,15.80
2024-01-01 08:02:48,69.39,95.73,39.26,17.67
2024-01-01 08:02:49,68.35,99.28,42.79,14.08
2024-01-01 08:02:50,68.05,95.97,40.03,16.05
2024-01-01 08:02:51,68.17,100.84,35.62,15.31
2024-01-01 08:02:52,69.62,99.42,34.23,24.00
2024-01-01 08:02:53,70.43,96.51,33.09,17.21
2024-01-01 08:02:54,70.27,96.01,39.83,20.50
2024-01-01 08:02:55,71.33,95.29,40.77,18.48
2024-01-01 08:02:56,69.67,96.22,43.75,14.93
2024-01-01 08:02:57,72.51,94.46,39.02,19.35
2024-01-01 08:02:58,69.03,95.23,42.07,22.44
2024-01-01 08:02:59,74.96,94.01,33.28,15.25
2024-01-01 08:03:00,70.73,97.95,34.09,23.35
2024-01-01 08:03:01,67.72,97.29,41.92,16.76
2024-01-01 08:03:02,67.24,98.92,40.91,18.28
2024-01-01 08:03:03,70.30,98.58,38.14,22.39
2024-01-01 08:03:04,68.83,99.96,39.86,17.68
2024-01-01 08:03:05,70.65,97.92,38.58,20.56
2024-01-01 08:03:06,70.12,91.99,41.78,19.23
2024-01-01 08:03:07,68.97,93.02,42.51,21.10
2024-01-01 08:03:08,67.36,97.63,41.22,11.15
2024-01-01 08:03:09,65.96,96.76,42.96,13.45
2024-01-01 08:03:10,68.03,95.93,40.72,23.34
2024-01-01 08:03:11,70.57,95.95,36.27,25.14
2024-01-01 08:03:12,69.22,92.14,40.74,17.47
2024-01-01 08:03:13,66.23,93.17,36.08,20.27
2024-01-01 08:03:14,69.00,94.55,41.76,22.56
2024-01-01 08:03:15,69.35,95.58,34.81,24.29
2024-01-01 08:03:16,66.74,97.46,40.82,13.55
2024-01-01 08:03:17,68.73,95.48,36.22,18.27
2024-01-01 08:03:18,68.47,93.00,40.58,20.64
2024-01-01 08:03:19,65.98,93.88,40.31,24.95
2024-01-01 08:03:20,68.90,96.88,33.87,32.30
2024-01-01 08:03:21,69.22,94.23,39.73,21.57
2024-01-01 08:03:22,70.18,95.97,36.16,17.04
2024-01-01 08:03:23,70.04,93.72,40.62,24.46
2024-01-01 08:03:24,65.08,88.48,40.95,28.32
2024-01-01 08:03:25,65.87,97.32,41.66,23.67
2024-01-01 08:03:26,68.68,94.42,35.92,19.81
2024-01-01 08:03:27,68.59,94.42,37.08,27.48
2024-01-01 08:03:28,68.49,97.42,37.53,26.51
2024-01-01 08:03:29,75.07,91.28,37.53,19.97
2024-01-01 08:03:30,68.41,94.82,43.99,25.82
2024-01-01 08:03:31,69.43,96.18,35.92,28.50
2024-01-01 08:03:32,68.97,96.24,41.85,29.47
2024-01-01 08:03:33,68.26,92.06,32.54,24.71
2024-01-01 08:03:34,66.22,102.48,36.69,23.78
2024-01-01 08:03:35,68.26,95.25,36.17,30.36
2024-01-01 08:03:36,65.08,94.81,36.89,20.85
2024-01-01 08:03:37,66.04,95.46,35.62,27.69
2024-01-01 08:03:38,65.43,91.05,41.98,20.71
2024-01-01 08:03:39,66.45,93.79,39.49,30.70
2024-01-01 08:03:40,70.80,92.55,38.66,25.66
2024-01-01 08:03:41,62.32,89.36,44.68,32.02
2024-01-01 08:03:42,67.30,89.79,40.41,29.17
2024-01-01 08:03:43,62.58,94.57,44.42,22.57
2024-01-01 08:03:44,64.74,91.90,40.95,33.43
2024-01-01 08:03:45,67.74,99.71,35.80,34.20
2024-01-01 08:03:46,65.56,88.78,43.84,31.79
2024-01-01 08:03:47,63.15,90.43,40.34,25.48
2024-01-01 08:03:48,63.75,87.83,38.95,27.57
2024-01-01 08:03:49,66.41,94.27,39.62,29.64
2024-01-01 08:03:50,63.45,93.88,39.19,26.52
2024-01-01 08:03:51,65.21,91.35,39.62,36.37
2024-01-01 08:03:52,64.74,90.84,42.19,30.45
2024-01-01 08:03:53,63.20,92.00,43.12,19.33
2024-01-01 08:03:54,68.66,95.36,36.11,31.77
2024-01-01 08:03:55,65.50,93.66,39.24,29.29
2024-01-01 08:03:56,60.04,91.45,47.20,30.65
2024-01-01 08:03:57,64.32,89.14,42.90,29.74
2024-01-01 08:03:58,62.48,89.74,48.74,34.72
2024-01-01 08:03:59,65.36,95.45,44.32,36.23
2024-01-01 08:04:00,61.92,90.47,46.28,33.15
2024-01-01 08:04:01,63.13,86.12,37.96,30.93
2024-01-01 08:04:02,64.22,92.14,43.76,32.38
2024-01-01 08:04:03,64.79,89.89,40.97,32.88
2024-01-01 08:04:04,60.51,92.35,42.04,29.85
2024-01-01 08:04:05,62.09,88.02,43.25,35.64
2024-01-01 08:04:06,61.65,90.04,45.85,35.41
2024-01-01 08:04:07,61.14,89.53,44.82,39.99
2024-01-01 08:04:08,65.82,93.61,37.87,39.09
2024-01-01 08:04:09,62.94,90.48,44.46,31.58
2024-01-01 08:04:10,59.45,85.98,42.42,37.84
2024-01-01 08:04:11,63.64,87.46,42.46,31.00
2024-01-01 08:04:12,65.89,85.92,39.56,37.82
2024-01-01 08:04:13,63.55,91.35,41.21,33.20
2024-01-01 08:04:14,58.28,90.18,47.33,31.40
2024-01-01 08:04:15,60.19,84.66,40.77,36.84
2024-01-01 08:04:16,63.52,89.07,47.72,25.24
2024-01-01 08:04:17,59.40,90.70,38.89,29.15
2024-01-01 08:04:18,61.54,91.25,41.28,35.65
2024-01-01 08:04:19,62.03,86.76,43.89,36.90
2024-01-01 08:04:20,58.46,86.70,46.68,35.29
2024-01-01 08:04:21,60.02,91.17,43.69,30.65
2024-01-01 08:04:22,53.48,86.43,47.74,33.89
2024-01-01 08:04:23,57.74,88.69,46.59,38.91
2024-01-01 08:04:24,59.11,92.97,43.84,39.85
2024-01-01 08:04:25,56.95,89.45,50.01,37.64
2024-01-01 08:04:26,62.53,85.42,45.00,42.50
2024-01-01 08:04:27,56.23,84.45,48.88,39.62
2024-01-01 08:04:28,58.03,87.82,42.29,35.20
2024-01-01 08:04:29,58.99,84.99,44.37,37.22
2024-01-01 08:04:30,61.43,87.19,42.24,32.88
2024-01-01 08:04:31,55.49,93.10,43.69,38.20
2024-01-01 08:04:32,60.51,82.74,44.77,43.21
2024-01-01 08:04:33,58.02,84.59,43.57,41.63
2024-01-01 08:04:34,55.85,89.23,48.45,44.62
2024-01-01 08:04:35,58.56,89.69,41.65,37.91
2024-01-01 08:04:36,57.85,85.50,50.45,44.62
2024-01-01 08:04:37,56.06,89.09,43.67,38.56
2024-01-01 08:04:38,57.21,87.20,46.33,45.31
2024-01-01 08:04:39,56.12,82.03,48.71,39.43
2024-01-01 08:04:40,56.93,88.94,44.13,42.42
2024-01-01 08:04:41,57.84,88.62,47.86,45.57
2024-01-01 08:04:42,59.49,84.39,40.62,38.96
2024-01-01 08:04:43,53.66,85.68,52.16,40.66
2024-01-01 08:04:44,60.21,81.83,43.92,45.00
2024-01-01 08:04:45,51.85,86.57,47.10,39.35
2024-01-01 08:04:46,55.25,87.41,45.95,34.64
2024-01-01 08:04:47,56.54,87.47,48.50,48.52
2024-01-01 08:04:48,55.73,85.17,44.81,38.10
2024-01-01 08:04:49,53.73,87.50,45.51,40.63
2024-01-01 08:04:50,54.37,82.61,46.71,44.62
2024-01-01 08:04:51,53.60,82.16,44.31,37.57
2024-01-01 08:04:52,53.22,85.19,53.53,35.96
2024-01-01 08:04:53,55.90,84.24,44.76,40.99
2024-01-01 08:04:54,54.72,83.44,49.66,32.79
2024-01-01 08:04:55,52.42,82.76,49.17,38.78
2024-01-01 08:04:56,55.41,82.62,43.80,40.87
2024-01-01 08:04:57,54.03,84.23,47.56,38.77
2024-01-01 08:04:58,54.84,83.85,49.45,33.63
2024-01-01 08:04:59,54.28,80.56,46.87,46.12
2024-01-01 08:05:00,0.66,85.44,83.18,40.09
2024-01-01 08:05:01,0.93,87.09,82.51,45.33
2024-01-01 08:05:02,0.60,80.64,82.39,38.49
2024-01-01 08:05:03,0.85,85.25,78.11,35.92
2024-01-01 08:05:04,0.05,82.42,76.73,40.43
2024-01-01 08:05:05,1.11,-0.32,77.50,38.39
2024-01-01 08:05:06,1.00,1.19,79.99,34.43
2024-01-01 08:05:07,0.59,0.95,81.28,44.91
2024-01-01 08:05:08,1.33,0.74,72.69,36.43
2024-01-01 08:05:09,1.47,1.12,79.09,31.43
2024-01-01 08:05:10,0.20,0.97,80.36,43.97
2024-01-01 08:05:11,0.62,1.56,78.80,36.50
2024-01-01 08:05:12,0.62,1.04,83.50,35.94
2024-01-01 08:05:13,0.53,0.63,80.95,31.16
2024-01-01 08:05:14,1.41,1.50,83.08,45.03
2024-01-01 08:05:15,0.90,0.89,78.81,32.74
2024-01-01 08:05:16,0.87,1.26,82.29,37.97
2024-01-01 08:05:17,-0.00,0.76,84.91,41.21
2024-01-01 08:05:18,1.32,0.68,83.14,39.07
2024-01-01 08:05:19,0.38,1.04,76.50,36.96
2024-01-01 08:05:20,1.03,1.01,78.62,30.20
2024-01-01 08:05:21,1.14,1.24,78.28,33.57
2024-01-01 08:05:22,1.68,0.87,80.46,37.36
2024-01-01 08:05:23,0.35,0.08,81.85,33.26
2024-01-01 08:05:24,-0.51,0.78,77.79,37.01
2024-01-01 08:05:25,1.09,1.40,79.55,38.71
2024-01-01 08:05:26,1.90,0.85,72.80,39.61
2024-01-01 08:05:27,1.62,0.88,83.35,30.63
2024-01-01 08:05:28,1.10,1.49,77.80,44.10
2024-01-01 08:05:29,0.75,0.64,79.72,38.15
2024-01-01 08:05:30,1.40,0.23,78.23,34.84
2024-01-01 08:05:31,0.51,0.92,83.13,38.97
2024-01-01 08:05:32,1.24,0.76,70.74,43.83
2024-01-01 08:05:33,1.25,0.52,79.20,28.37
2024-01-01 08:05:34,1.53,0.91,78.76,32.97
2024-01-01 08:05:35,2.38,1.25,77.21,24.11
2024-01-01 08:05:36,1.20,1.00,84.46,34.14
2024-01-01 08:05:37,0.75,1.15,76.89,34.58
2024-01-01 08:05:38,0.99,1.91,81.72,32.70
2024-01-01 08:05:39,0.12,0.83,81.00,29.98
2024-01-01 08:05:40,43.24,1.14,57.84,24.14
2024-01-01 08:05:41,45.18,0.75,50.89,33.56
2024-01-01 08:05:42,44.99,0.58,50.81,37.63
2024-01-01 08:05:43,43.30,0.71,57.31,29.17
2024-01-01 08:05:44,43.18,0.76,55.37,33.03
2024-01-01 08:05:45,44.39,76.31,48.73,24.73
2024-01-01 08:05:46,40.84,75.37,53.88,32.56
2024-01-01 08:05:47,40.73,75.90,56.72,28.89
2024-01-01 08:05:48,41.92,74.69,57.36,27.14
2024-01-01 08:05:49,42.75,70.70,52.32,26.88
2024-01-01 08:05:50,43.61,75.49,45.09,28.08
2024-01-01 08:05:51,45.75,71.29,54.12,30.91
2024-01-01 08:05:52,44.33,71.60,49.74,23.87
2024-01-01 08:05:53,42.11,76.43,48.68,27.26
2024-01-01 08:05:54,42.20,71.68,46.18,28.41
2024-01-01 08:05:55,40.05,76.51,58.41,23.91
2024-01-01 08:05:56,41.84,76.04,55.28,35.23
2024-01-01 08:05:57,41.11,74.90,54.65,24.37
2024-01-01 08:05:58,42.16,75.27,58.87,24.84
2024-01-01 08:05:59,39.67,74.44,58.11,23.34
2024-01-01 08:06:00,42.19,73.18,59.54,34.19
2024-01-01 08:06:01,44.04,75.41,49.40,28.95
2024-01-01 08:06:02,40.58,72.23,55.55,22.74
2024-01-01 08:06:03,41.42,72.50,50.30,30.66
2024-01-01 08:06:04,41.82,69.57,54.22,26.79
2024-01-01 08:06:05,39.46,72.10,55.58,26.77
2024-01-01 08:06:06,40.54,81.13,57.56,24.12
2024-01-01 08:06:07,39.94,74.95,56.17,22.26
2024-01-01 08:06:08,39.94,70.43,57.91,26.37
2024-01-01 08:06:09,38.03,70.81,59.29,22.61
2024-01-01 08:06:10,39.45,72.53,62.79,31.83
2024-01-01 08:06:11,40.23,73.53,54.92,19.26
2024-01-01 08:06:12,41.97,73.05,52.00,30.26
2024-01-01 08:06:13,40.82,71.44,56.25,23.45
2024-01-01 08:06:14,43.04,70.17,51.77,24.88
2024-01-01 08:06:15,37.03,72.22,62.23,26.81
2024-01-01 08:06:16,40.15,72.36,55.06,20.76
2024-01-01 08:06:17,38.61,69.14,55.14,26.54
2024-01-01 08:06:18,42.46,72.19,53.11,12.06
2024-01-01 08:06:19,36.31,72.73,60.37,19.82
2024-01-01 08:06:20,36.08,69.98,57.88,18.82
2024-01-01 08:06:21,36.41,78.09,56.23,17.33
2024-01-01 08:06:22,33.20,71.62,65.08,21.31
2024-01-01 08:06:23,36.24,73.34,55.69,23.55
2024-01-01 08:06:24,35.62,70.89,58.73,24.66
2024-01-01 08:06:25,37.29,69.83,59.58,22.66
2024-01-01 08:06:26,37.52,69.97,52.59,18.88
2024-01-01 08:06:27,40.44,67.77,57.18,22.88
2024-01-01 08:06:28,38.44,73.11,53.77,21.77
2024-01-01 08:06:29,35.24,66.24,61.33,24.88
2024-01-01 08:06:30,34.45,70.78,56.44,24.13
2024-01-01 08:06:31,37.08,68.16,59.83,21.02
2024-01-01 08:06:32,33.32,73.46,63.33,17.20
2024-01-01 08:06:33,39.48,68.91,58.90,18.08
2024-01-01 08:06:34,38.03,67.35,57.93,18.40
2024-01-01 08:06:35,34.60,66.97,58.55,19.25
2024-01-01 08:06:36,31.97,71.62,59.09,21.50
2024-01-01 08:06:37,37.97,68.49,61.63,23.21
2024-01-01 08:06:38,34.90,69.09,56.96,20.08
2024-01-01 08:06:39,37.47,70.54,54.41,20.29
2024-01-01 08:06:40,31.68,66.26,62.99,20.74
2024-01-01 08:06:41,33.54,63.06,57.49,18.06
2024-01-01 08:06:42,34.62,69.94,56.38,16.38
2024-01-01 08:06:43,34.57,67.30,54.93,13.03
2024-01-01 08:06:44,33.45,74.83,58.48,17.25
2024-01-01 08:06:45,35.48,66.21,58.47,21.90
2024-01-01 08:06:46,31.97,64.07,61.55,17.19
2024-01-01 08:06:47,33.70,66.56,62.63,19.05
2024-01-01 08:06:48,34.11,69.70,61.12,21.87
2024-01-01 08:06:49,34.78,70.94,58.56,22.10
2024-01-01 08:06:50,35.06,65.21,58.37,15.72
2024-01-01 08:06:51,31.27,61.82,62.77,24.05
2024-01-01 08:06:52,30.34,70.70,65.61,24.61
2024-01-01 08:06:53,35.85,68.07,58.87,15.62
2024-01-01 08:06:54,33.85,66.09,58.28,16.89
2024-01-01 08:06:55,31.58,69.12,58.07,25.01
2024-01-01 08:06:56,36.08,59.75,54.02,19.72
2024-01-01 08:06:57,33.10,64.28,62.14,11.50
2024-01-01 08:06:58,35.13,69.34,60.66,14.85
2024-01-01 08:06:59,32.80,68.93,62.05,19.54
2024-01-01 08:07:00,36.69,63.24,57.60,15.97
2024-01-01 08:07:01,35.98,69.03,62.63,19.07
2024-01-01 08:07:02,31.88,64.63,59.42,20.96
2024-01-01 08:07:03,34.23,68.61,62.33,26.79
2024-01-01 08:07:04,33.48,64.45,59.80,19.89
2024-01-01 08:07:05,34.84,68.54,57.27,25.47
2024-01-01 08:07:06,30.08,66.79,63.73,27.03
2024-01-01 08:07:07,33.30,66.80,61.25,27.19
2024-01-01 08:07:08,33.96,69.10,60.70,22.73
2024-01-01 08:07:09,28.24,66.32,63.30,13.89
2024-01-01 08:07:10,29.31,67.95,62.30,23.74
2024-01-01 08:07:11,27.52,61.17,70.65,26.25
2024-01-01 08:07:12,30.98,66.04,64.96,21.90
2024-01-01 08:07:13,32.88,67.07,62.44,29.38
2024-01-01 08:07:14,34.38,67.83,59.71,26.02
2024-01-01 08:07:15,31.45,61.22,64.15,25.03
2024-01-01 08:07:16,34.49,64.94,60.86,27.29
2024-01-01 08:07:17,28.40,66.78,63.04,24.48
2024-01-01 08:07:18,27.69,66.86,62.48,13.37
2024-01-01 08:07:19,30.92,71.02,61.21,21.55
2024-01-01 08:07:20,31.74,65.90,51.45,28.54
2024-01-01 08:07:21,30.84,68.37,62.13,20.74
2024-01-01 08:07:22,26.71,62.61,62.51,23.29
2024-01-01 08:07:23,30.61,64.60,66.41,20.23
2024-01-01 08:07:24,28.13,66.93,63.18,31.77
2024-01-01 08:07:25,32.02,64.14,57.22,31.59
2024-01-01 08:07:26,31.37,62.04,61.03,21.56
2024-01-01 08:07:27,28.70,60.97,59.64,25.92
2024-01-01 08:07:28,29.51,62.89,63.71,22.85
2024-01-01 08:07:29,28.37,62.38,63.85,28.28
2024-01-01 08:07:30,30.32,68.09,64.68,28.11
2024-01-01 08:07:31,32.32,64.18,58.24,29.56
2024-01-01 08:07:32,28.40,62.88,63.06,27.90
2024-01-01 08:07:33,31.34,63.72,57.10,38.57
2024-01-01 08:07:34,29.24,64.40,64.56,22.97
2024-01-01 08:07:35,28.68,59.77,64.35,20.50
2024-01-01 08:07:36,30.02,64.64,63.48,26.03
2024-01-01 08:07:37,28.13,63.14,63.13,21.59
2024-01-01 08:07:38,29.07,67.47,63.80,22.16
2024-01-01 08:07:39,27.75,62.40,68.16,24.39
2024-01-01 08:07:40,34.06,59.19,58.71,24.98
2024-01-01 08:07:41,30.18,65.25,62.31,25.11
2024-01-01 08:07:42,28.69,61.23,59.53,31.27
2024-01-01 08:07:43,30.50,60.87,59.10,27.45
2024-01-01 08:07:44,29.83,60.95,62.40,29.02
2024-01-01 08:07:45,29.60,66.88,65.55,33.59
2024-01-01 08:07:46,31.26,62.93,60.48,27.22
2024-01-01 08:07:47,31.53,58.54,60.37,29.49
2024-01-01 08:07:48,28.95,66.19,61.41,32.28
2024-01-01 08:07:49,28.85,66.41,61.08,23.32
2024-01-01 08:07:50,29.45,64.98,63.21,21.82
2024-01-01 08:07:51,25.40,62.73,60.27,33.01
2024-01-01 08:07:52,26.97,64.82,67.66,33.86
2024-01-01 08:07:53,32.74,63.15,58.36,40.41
2024-01-01 08:07:54,33.30,64.28,62.19,33.05
2024-01-01 08:07:55,29.52,64.90,58.48,35.96
2024-01-01 08:07:56,31.18,58.85,63.30,32.16
2024-01-01 08:07:57,30.66,61.74,63.62,34.39
2024-01-01 08:07:58,36.20,67.10,59.43,40.12
2024-01-01 08:07:59,32.30,69.55,57.64,25.21
